name,technology,bidding_EOM,bidding_CRM_pos,bidding_CRM_neg,fuel_type,emission_factor,max_power,min_power,efficiency,ramp_up,ramp_down,additional_cost,hot_start_cost,warm_start_cost,cold_start_cost,min_operating_time,min_down_time,heat_extraction,max_heat_extraction,unit_operator
Bhadradri Thermal Power Plant Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,270,108,0.4,,,,,,,,,,,Bhadradri TPP
Bhadradri Thermal Power Plant Unit 3,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,270,108,0.4,,,,,,,,,,,Bhadradri TPP
Bhadradri Thermal Power Plant Unit 4,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,270,108,0.4,,,,,,,,,,,Bhadradri TPP
Bhavnagar TPP Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,250,100,0.4,,,,,,,,,,,Bhavnagar TPP
Bhavnagar TPP Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,250,100,0.4,,,,,,,,,,,Bhavnagar TPP
Bhilai Thermal Power Station Stage I Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,250,100,0.4,,,,,,,,,,,Bhilai TPS
Bhilai Thermal Power Station Stage I Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,250,100,0.4,,,,,,,,,,,Bhilai TPS
Bhusawal Coal based TPS Unit 3,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Bhusawal TPS
Bhusawal Coal based TPS Unit 4,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Bhusawal TPS
Bhusawal Coal based TPS Unit 5,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Bhusawal TPS
Bhusawal Coal based TPS Unit 6,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Bhusawal TPS
Bina Thermal Power Station/ JP Bina TPP Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,250,100,0.4,,,,,,,,,,,Bina TPS
Bina Thermal Power Station/ JP Bina TPP Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,250,100,0.4,,,,,,,,,,,Bina TPS
Binjkote Thermal Power Plant Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,300,120,0.4,,,,,,,,,,,Binjkote TPP
Binjkote Thermal Power Plant Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,300,120,0.4,,,,,,,,,,,Binjkote TPP
Bokaro A Thermal Power Station Extension Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Bokaro A Extension TPS
Bongaigaon TPP Stage I Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,250,100,0.4,,,,,,,,,,,Bongaigaon TPP
Bongaigaon TPP Stage I Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,250,100,0.4,,,,,,,,,,,Bongaigaon TPP
Bongaigaon TPP Stage II Unit 3,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,250,100,0.4,,,,,,,,,,,Bongaigaon TPP
Budge Budge Thermal Power Station Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,250,100,0.4,,,,,,,,,,,Budge Budge TPS
Budge Budge Thermal Power Station Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,250,100,0.4,,,,,,,,,,,Budge Budge TPS
Budge Budge Thermal Power Station Unit 3,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,250,100,0.4,,,,,,,,,,,Budge Budge TPS
Butibori Power Project Phase I Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,300,120,0.4,,,,,,,,,,,Butibori TPP
Butibori Power Project Phase I Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,300,120,0.4,,,,,,,,,,,Butibori TPP
Chakabura TPP Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,30,12,0.4,,,,,,,,,,,Chakabura TPP
Chandrapur (Maharashtra) Super Thermal Power Station Unit 3,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Chandrapur (Maharashtra) STPS
